source,date,new_cases,deaths,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99
https://coronavirus.bg/bg/news/2044,29-06-2021,115,13,0,0,0,0,0,0,0,0,0,2,1,1,3,2,0,2,2,0,0,0
https://coronavirus.bg/bg/news/2042,28-06-2021,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2041,27-06-2021,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://coronavirus.bg/bg/news/2040,27-06-2021,86,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
https://coronavirus.bg/bg/news/2035,25-06-2021,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0
https://coronavirus.bg/bg/news/2030,24-06-2021,93,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
https://coronavirus.bg/bg/news/2027,23-06-2021,94,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,1,0
https://coronavirus.bg/bg/news/2019,22-06-2021,120,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,1,0,0,0
https://coronavirus.bg/bg/news/2009,19-06-2021,105,7,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0
https://coronavirus.bg/bg/news/2012,21-06-2021,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://coronavirus.bg/bg/news/2010,20-06-2021,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
https://coronavirus.bg/bg/news/2003,18-06-2021,110,23,0,0,0,0,0,2,0,0,0,0,3,1,2,4,3,2,4,2,0,0
https://coronavirus.bg/bg/news/1995,17-06-2021,95,25,0,0,0,0,0,0,0,0,0,2,0,3,3,3,2,9,1,2,0,0
https://coronavirus.bg/bg/news/1993,16-06-2021,161,17,0,0,0,0,0,0,0,0,0,1,1,2,1,2,5,3,2,0,0,0
https://coronavirus.bg/bg/news/1989,15-06-2021,157,15,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,1,2,2,0
https://coronavirus.bg/bg/news/1981,14-06-2021,42,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
https://coronavirus.bg/bg/news/1980,13-06-2021,81,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
https://coronavirus.bg/bg/news/1977,12-06-2021,123,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0
https://coronavirus.bg/bg/news/1972,11-06-2021,100,15,0,0,0,0,0,0,1,0,0,0,0,1,1,4,2,2,3,1,0,0
https://coronavirus.bg/bg/news/1967,10-06-2021,131,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,1,1,1,0
https://coronavirus.bg/bg/news/1964,09-06-2021,178,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0
https://coronavirus.bg/bg/news/1959,08-06-2021,208,34,0,0,0,0,0,0,0,0,0,1,0,1,2,5,6,8,7,3,1,0
